Property,Author,Year,T_range,N,RMS_%,AAD_%
BetaS_sub,Beaumont,1961.0,5--50,8,19.00,18.88
BetaS_sub,Petert,1973.0,77,1,25.38,25.38
BetaS_sub,Skalyo,1974.0,10--115,3,18.11,16.10
BetaS_sub,Landheer,1975.0,10--115.6,4,16.80,12.90
BetaS_sub,Rand,1977.0,114--115.6,2,4.64,3.34
BetaT_sub,Urvas,1967.0,10--101,9,7.45,6.69
BetaT_sub,Losee,1968.0,4--115,25,9.73,8.25
BetaT_sub,Korpiun,1971.0,5--115,23,11.06,9.84
BetaT_sub,Anderson,1975.0,4--110,8,5.04,4.45
BetaT_sub,Macrander,1978.0,81.69--113.99,9,1.47,1.03
H_solid_melt,Ferreira,0.0,116,1,237.03,237.03
H_solid_melt,Lahr,0.0,116.1--209,2,172.14,143.42
H_solid_sub,Chen,0.0,102--109.5,15,210.49,210.37
Vm_melt,Lahr,1962.0,116.1--362,8,2.87,2.48
Vm_melt,Macrander,1978.0,127.34--138.94,3,0.26,0.26
Vm_sub,Cheesman,1957.0,58--68,2,0.24,0.18
Vm_sub,Figgins,1960.0,20--90,5,0.07,0.05
Vm_sub,Beaumont,1961.0,5--50,8,0.14,0.14
Vm_sub,Curzon,1965.0,7,1,0.19,0.19
Vm_sub,Losee,1968.0,4--115.78,26,0.21,0.20
Vm_sub,Korpiun,1971.0,85--115,7,0.20,0.18
Vm_sub,Macrander,1980.0,95--115,5,0.28,0.28
Vm_sub,Peek,1991.0,114.7,1,0.83,0.83
Vm_sub,Jephcoat,1998.0,4,1,0.13,0.13
Vm_sub,Herrero,2003.0,4.719--109.88,12,0.10,0.09
alpha_sub,Manzhelli,1967.0,12--69,13,5.65,3.91
alpha_sub,Losee,1968.0,4--115,25,5.63,3.73
alpha_sub,Korpiun,1971.0,4--115,25,6.82,5.05
alpha_sub,Tilford,1972.0,2--45,31,9.11,7.05
cp_sub,Clusius,1936.0,10.53--112.5,37,7.34,4.96
cp_sub,Losee,1968.0,4--115,25,6.60,4.74
cp_sub,Finegold,1969.0,1.6552--12.279,41,12.12,11.22
pmelt,Stryland,1960.0,125.9--192.6,14,2.25,1.72
pmelt,Lahr,1962.0,169--362,7,3.75,2.80
pmelt,Michels,1962.0,127.739--157.033,8,0.85,0.81
pmelt,Crawford,1971.0,138.27--291.695,23,0.65,0.40
pmelt,Crawford,1977.0,130--300,8,0.90,0.62
psub,Allen,1931.0,114.15--115.75,5,2.54,2.27
psub,Keesom,1935.0,78.66--115.94,20,4.35,3.88
psub,Stull,1947.0,73.85--121.15,10,15.21,13.73
psub,Liang,1951.0,77.3,1,3.85,3.85
psub,Freeman,1956.0,87.2--115.76,30,5.77,5.38
psub,Fisher,1958.0,72--80,9,6.38,5.63
psub,Heastie,1959.0,115.8,1,0.40,0.40
psub,Beaumont,1961.0,83.282--115.758,20,4.17,3.57
psub,Larher,1968.0,72.21--91.04,18,3.30,2.89
psub,Leming,1970.0,66.59--114.914,86,5.42,4.70
psub,Lee,1972.0,94.4--115.77,165,5.25,3.93
psub,Chen,1978.0,103.719--115.727,41,4.30,3.72
psub,Staveley,1981.0,115.76,1,0.41,0.41
psub,Lide,2006.0,80--115.8,7,4.01,3.67
